tweet_id,author_id,author_username,text,created_at,retweet_count,like_count,reply_count,quote_count,impression_count,lang,conversation_id,is_reply,is_retweet,is_quote,hashtags,query_matched,polarity,subjectivity,word_count,collection_method,scraped_at
1267437a17bc50c6,,getpeoplejoy,The SAVE plan has been struck down by a federal appeals court If you are pursuing PSLF this could impact your repayment strategy,10h,0,6,6,0,0,en,,False,False,False,,PSLF SAVE plan,-0.155556,0.288889,23,nitter_browser,2026-03-23T22:41:11.217401
4fc3c1d5a01d8524,,caelliottmpa,I have 32 months remaining on PSLF I am debating if I should enroll into a payment plan or wait until the courts rule on the SAVE plan My expected forgiveness is November 2028,Mar 12,0,32,32,0,0,en,,False,False,False,,PSLF SAVE plan,-0.1,0.4,34,nitter_browser,2026-03-23T22:41:11.218400
fb3022e8ca604d2d,,BRoseMDMPH,Now that SAVE student loan plan is ending think carefully about what plan you switch to especially if seeking PSLF RAP seems like the best overall option,Mar 11,181,181,1,0,0,en,,False,False,False,,PSLF SAVE plan,0.225,0.575,27,nitter_browser,2026-03-23T22:41:11.218400
b27b2e55b6528a0f,,DebtCrisisOrg,With the SAVE plan I am able to live a comfortable life and work toward PSLF If SAVE and IDRs go away I am concerned that I will not be able to make ends meet Borrower in IL This is why SAVE must be saved,Mar 11,8,1291,1,54,1291,en,,False,False,False,,PSLF SAVE plan,0.384091,0.6375,45,nitter_browser,2026-03-23T22:41:11.218400
47ca3b98acde78ba,,CollegeInvestin,The SAVE student loan plan is dead by court order IBR is likely your best remaining income-driven option PSLF is still fully available,Mar 9,2,220,2,220,0,en,,False,False,False,,PSLF SAVE plan,0.3,0.525,23,nitter_browser,2026-03-23T22:41:11.218400
5e121d76499282c1,,BRoseMDMPH,Forced court forbearance on SAVE plan needs to count towards PSLF automatically or via buyback,Mar 3,116,116,3,0,0,en,,False,False,False,,PSLF SAVE plan,-0.3,0.2,15,nitter_browser,2026-03-23T22:41:11.218400
869873aef5e7545e,,Peter_Bucci,Replying to @_rotimia Fix the housing shortage Cut red tape Boost trade schools Grow the doctor training pipeline Dont talk about gun control student loan forgiveness immigration,Mar 20,0,18,18,0,0,en,,True,False,False,,student loan forgiveness doctor,0.0,0.0,27,nitter_browser,2026-03-23T22:41:11.218400
bdc9c8a44585bf22,,PalazzzoF,Priorities Full Pay Restoration Stopping scope creep UK Graduate prioritisation Student loan forgiveness Ending doctor unemployment The BMA must focus relentlessly,Mar 11,2,383,2,10,383,en,,False,False,False,,student loan forgiveness doctor,0.35,0.55,21,nitter_browser,2026-03-23T22:41:11.218400
af3447d087bce867,,530BruceRoss,Replying to @AnechoicMedia_ Student loan forgiveness for practicing in underserved areas is very common You even make more than 70K if a doctor,Feb 16,0,21,21,0,0,en,,True,False,False,,student loan forgiveness doctor,0.055,0.575,23,nitter_browser,2026-03-23T22:41:11.218400
092dc71c8754fe1a,,DrSteveTaylor,Student Loan Scandal It hits the higher earners worse Time for student loan forgiveness and resolve the Resident Doctor dispute,Jan 28,79,5103,4,154,5103,en,,False,False,False,,student loan forgiveness doctor,-0.075,0.55,20,nitter_browser,2026-03-23T22:41:11.219905
9b5110a003b2d35f,,achimrise,Replying to @FlushLeftTurds My mom is a teacher makes 90K a year both nurses and teachers can qualify for a loan forgiveness so the student debt becomes moot after 10 years,Mar 10,4,68,2,68,0,en,,True,False,False,,student loan forgiveness teacher,0.0,0.0,31,nitter_browser,2026-03-23T22:41:11.219905
7dcf58fa7e2c207d,,I_amLilWill,Replying to @vickram68 A binding contract already has loan forgiveness clauses in them You have teacher loan forgiveness permanent disability public service,Mar 10,3,54,1,54,0,en,,True,False,False,,student loan forgiveness teacher,0.0,0.066667,22,nitter_browser,2026-03-23T22:41:11.219905
5c8478b166765c85,,aroom_withbooks,You could just properly fund every school and give teachers student loan forgiveness and rein in the policies that allow them to be abused on the job I would still be a teacher if that had been done 5 years ago,Mar 10,0,24,24,0,0,en,,False,False,False,,student loan forgiveness teacher,0.0,0.1,41,nitter_browser,2026-03-23T22:41:11.219905
