institution,state,pslf_class,pslf_evidence
Lemuel Shattuck Hosp,MA,ambiguous,
MGB-Brigham & Womens Hosp,MA,pslf_friendly,Brigham
Mass General Brigham,MA,pslf_friendly,Brigham
MetroWest Med Ctr-Framingham,MA,pslf_friendly,Med Ctr
Mt Auburn Hospital,MA,ambiguous,
Newton-Wellesley Hosp,MA,ambiguous,
North Shore Med Ctr/Salem Hosp,MA,pslf_friendly,Med Ctr
St Elizabeths Med Ctr,MA,pslf_friendly,Med Ctr
St Vincent Hosp-Worcester,MA,ambiguous,
Steward Carney Hospital,MA,pslf_hostile,Steward
Tufts Medical Center,MA,pslf_friendly,Medical Center
UMass Chan - Baystate,MA,ambiguous,
UMass Chan Medical School,MA,pslf_friendly,Medical School
Ascension Providence/MSUCHM,MI,ambiguous,
Authority Health GME,MI,ambiguous,
Corewell Health Lakeland,MI,ambiguous,
Corewell Health-Grand Rapids/MSU,MI,ambiguous,
Corewell Health,MI,ambiguous,
Detroit Med Ctr/WSU,MI,pslf_friendly,Med Ctr
Garden City Hospital,MI,ambiguous,
Henry Ford Genesys Hospital,MI,ambiguous,
Henry Ford Hospital,MI,ambiguous,
Henry Ford Jackson Hospital,MI,ambiguous,
Henry Ford Macomb Hospital,MI,ambiguous,
Henry Ford Providence Hosp,MI,ambiguous,
Henry Ford St John Hosp,MI,ambiguous,
Henry Ford Warren Hosp,MI,ambiguous,
Henry Ford Wyandotte Hospital,MI,ambiguous,
Hurley Medical Ctr,MI,pslf_friendly,Medical Ctr
MSUCOM Statewide Campus Sys,MI,ambiguous,
Mary Free Bed Hospital,MI,ambiguous,
McLaren Health Care Corp,MI,ambiguous,
Munson Med Ctr,MI,pslf_friendly,Med Ctr
MyMichigan Med Ctr Midland,MI,pslf_friendly,Med Ctr
Oakland Integrated Healthcare Network,MI,pslf_friendly,Healthcare
Oakland Physicians Med Ctr,MI,pslf_friendly,Med Ctr
Pine Rest Christian Mental Hlth Svcs,MI,ambiguous,
Promedica Monroe Reg Hosp,MI,ambiguous,
Sparrow Hospital,MI,ambiguous,
Trinity Health Ann Arbor Hosp,MI,ambiguous,
Trinity Health Grand Rapids,MI,ambiguous,
Trinity Health Livingston Hosp,MI,ambiguous,
Trinity Health Livonia Hosp,MI,ambiguous,
Trinity Health Muskegon,MI,ambiguous,
Trinity Health Oakland,MI,ambiguous,
UP Health System-Marquette,MI,pslf_friendly,Health System
Wayne State University SOM,MI,pslf_friendly,University
Abbott Northwestern Hosp,MN,pslf_friendly,Northwestern
Allina Health,MN,ambiguous,
HealthPartners Institute,MN,pslf_friendly,Institute
Hennepin Co Med Ctr,MN,pslf_friendly,Med Ctr
Mayo Clinic School of Grad Med Educ,MN,pslf_friendly,Mayo Clinic
Baptist Mem Hosp DeSoto,MS,ambiguous,
Baptist Mem Hosp Golden Triangle,MS,ambiguous,
Baptist Mem Hosp North,MS,ambiguous,
Forrest General Hospital,MS,ambiguous,
Magnolia Regional Health Ctr,MS,ambiguous,
Memorial Hospital at Gulfport,MS,pslf_friendly,Memorial
Merit Health Wesley,MS,ambiguous,
University Hosps-Jackson,MS,pslf_friendly,University
Barnes-Jewish Hosp,MO,ambiguous,
Childrens Mercy Hospital,MO,pslf_friendly,Children
CoxHealth,MO,ambiguous,
KCU-GME Consortium,MO,ambiguous,
Mercy Hospital St Louis,MO,ambiguous,
SSM Health/St Louis Univ SOM,MO,pslf_friendly,Univ
SSM St Marys Hospital-St Louis,MO,ambiguous,
St Louis Childrens Hosp,MO,pslf_friendly,Children
St Louis Univ SOM,MO,pslf_friendly,Univ
St Lukes Hospital-St Louis,MO,ambiguous,
Still OPTI-Northeast Reg Med Ctr,MO,pslf_friendly,Med Ctr
University Hosps-Columbia,MO,pslf_friendly,University
Benefis Hospital,MT,ambiguous,
Billings Clinic,MT,ambiguous,
Clarkson Family Med Res,NE,ambiguous,
Creighton Univ Affil Hosps,AZ,pslf_friendly,Univ
Creighton University,NE,pslf_friendly,University
Lincoln Med Ed Partnership,NE,ambiguous,
Dignity St Rose Dominican Hosps,NV,ambiguous,
Kirk Kerkorian SOM at UNLV,NV,pslf_friendly,SOM
Sunrise Health GME Consortium,NV,ambiguous,
Valley Health System,NV,pslf_friendly,Health System
Valley Hosp Med Ctr,NV,pslf_friendly,Med Ctr
Cheshire Med Ctr/Dartmouth Health,NH,pslf_friendly,Med Ctr
Concord Hospital,NH,ambiguous,
Dartmouth-Hitchcock Med Ctr,NH,pslf_friendly,Med Ctr
Portsmouth Regional Hosp,NH,ambiguous,
AHS Morristown Med Ctr,NJ,pslf_friendly,Med Ctr
AHS Overlook Hospital,NJ,ambiguous,
AtlantiCare Reg Med Ctr,NJ,pslf_friendly,Med Ctr
Atlantic Health System,NJ,pslf_friendly,Health System
CMSRU/Cooper University Hospital,NJ,pslf_friendly,University
Capital Health Reg Med Ctr,NJ,pslf_friendly,Med Ctr
CarePoint Health,NJ,ambiguous,
Englewood Hosp,NJ,ambiguous,
HMH-Palisades Med Ctr,NJ,pslf_friendly,Med Ctr
Hackensack U Med Ctr,NJ,pslf_friendly,Med Ctr
Hunterdon Med Ctr,NJ,pslf_friendly,Med Ctr
ISMMS Valley Health System,NJ,pslf_friendly,Health System
Inspira Health Network,NJ,ambiguous,
JFK Med Ctr,NJ,pslf_friendly,Med Ctr
Jersey Shore Univ Med Ctr,NJ,pslf_friendly,Univ
Mountainside Hosp,NJ,ambiguous,
NYMC-St Marys and St Clares,NY,ambiguous,
NYMC-St Michaels Med Ctr,NJ,pslf_friendly,Med Ctr
New Bridge Med Ctr,NJ,pslf_friendly,Med Ctr
Ocean University Med Ctr,NJ,pslf_friendly,University
Rowan University SOM,NJ,pslf_friendly,University
Rutgers-Community Med Ctr,NJ,pslf_friendly,Med Ctr
Rutgers-Cooperman Barnabas Med Ctr,NJ,pslf_friendly,Med Ctr
Rutgers-Jersey City Med Ctr,NJ,pslf_friendly,Med Ctr
Rutgers-Monmouth Med Ctr,NJ,pslf_friendly,Med Ctr
Rutgers-Newark Beth Israel Med Ctr,NJ,pslf_friendly,Beth Israel
Rutgers-R W Johnson Medical School,NJ,pslf_friendly,Medical School
Rutgers-RWJUH Somerset,NJ,pslf_friendly,SOM
Rutgers-Trinitas Med Ctr,NJ,pslf_friendly,Med Ctr
St Francis Med Ctr,NJ,pslf_friendly,Med Ctr
St Josephs Univ Med Ctr,NJ,pslf_friendly,Univ
St Lukes Warren Hospital,NJ,ambiguous,
St Peters University Hosp,NJ,pslf_friendly,University
Virtua Health,NJ,ambiguous,
Hidalgo Medical Services,NM,ambiguous,
Memorial Med Ctr,NM,pslf_friendly,Med Ctr
MountainView Reg Med Ctr,NM,pslf_friendly,Med Ctr
Rehoboth McKinley CHCS,NM,ambiguous,
Albany Med Ctr,NY,pslf_friendly,Med Ctr
Arnot Ogden Med Ctr,NY,pslf_friendly,Med Ctr
Bassett Med Ctr,NY,pslf_friendly,Med Ctr
BronxCare Health System,NY,pslf_friendly,Health System
Brooklyn Hosp Ctr,NY,ambiguous,
Burke Rehabilitation Hosp,NY,ambiguous,
Cayuga Med Ctr,NY,pslf_friendly,Med Ctr
Community Healthcare Network,NY,pslf_friendly,Healthcare
Coney Island Hospital,NY,ambiguous,
Creedmoor Psych Ctr,NY,ambiguous,
Ellis Hospital,NY,ambiguous,
Family Health Ctrs at NYU Langone,NY,pslf_friendly,NYU
Flushing Hospital Med Ctr,NY,pslf_friendly,Med Ctr
Garnet Health Med Ctr,NY,pslf_friendly,Med Ctr
Good Samaritan Hosp Med Ctr,NY,pslf_friendly,Med Ctr
Good Samaritan Univ Hosp,NY,pslf_friendly,Univ
Harlem Hospital Ctr,NY,ambiguous,
Hosp For Special Surgery,NY,ambiguous,
ISMMS Mount Sinai Beth Israel,NY,pslf_friendly,Mount Sinai
ISMMS Mount Sinai Hospital,NY,pslf_friendly,Mount Sinai
ISMMS Mount Sinai Morningside-West,NY,pslf_friendly,Mount Sinai
ISMMS Mount Sinai South Nassau,NY,pslf_friendly,Mount Sinai
ISMMS NYC Health+Hospitals/Elmhurst,NY,pslf_friendly,Hospitals
ISMMS NYC Health+Hospitals/Queens,NY,pslf_friendly,Hospitals
Institute for Family Health,NY,pslf_friendly,Institute
Jacobi Med Ctr/Einstein,NY,pslf_friendly,Med Ctr
Jamaica Hosp Med Ctr,NY,pslf_friendly,Med Ctr
Lincoln Med Ctr,NY,pslf_friendly,Med Ctr
Long Island Community Hosp,NY,ambiguous,
Maimonides Med Ctr,NY,pslf_friendly,Med Ctr
Memorial Sloan-Kettering,NY,pslf_friendly,Memorial
Mohawk Valley Health Sys,NY,ambiguous,
Montefiore Med Ctr/Einstein,NY,pslf_friendly,Med Ctr
Montefiore St Lukes Cornwall,NY,ambiguous,
Montefiore-New Rochelle/Einstein,NY,ambiguous,
NYCOMEC,NY,ambiguous,
NYMC-Metropolitan Hosp Ctr,NY,ambiguous,
NYMC-St Josephs Med Ctr,NY,pslf_friendly,Med Ctr
NYMC-Westchester/Metropolitan,NY,ambiguous,
NYP Brooklyn Methodist Hosp,NY,ambiguous,
NYP Hosp-Columbia & Cornell,NY,pslf_friendly,Columbia
NYP Hosp-Columbia Univ Med Ctr,NY,pslf_friendly,Univ
NYP Hosp-Weill Cornell Med Ctr,NY,pslf_friendly,Cornell
NYU Grossman Long Island SOM,NY,pslf_friendly,SOM
NYU Grossman School Of Medicine,NY,pslf_friendly,School of Medicine
Nassau Univ Med Ctr,NY,pslf_friendly,Univ
Niagara Falls Mem Med Ctr,NY,pslf_friendly,Med Ctr
Nuvance Health Consortium,NY,ambiguous,
Nuvance Health,NY,ambiguous,
OBH Brookdale Univ Hosp Med Ctr,NY,pslf_friendly,Univ
OBH Interfaith Med Ctr,NY,pslf_friendly,Med Ctr
