institution,state,city,n_unique_programs,n_specialties,total_quota_5y,annual_residents_pgy1,avg_fill_rate,ntee_code,ntee_top_level,propublica_sub_name,university_affiliation,academic_med_center,pslf_class_propublica,subsec_code
Hartford Hospital,CT,Hartford,3,3,68,13.6,1.0,E220,E,Hartford Hospital,False,False,pslf_eligible_501c3,3.0
Harvard South Shore,MA,Boston,1,1,40,8.0,1.0,,,,True,False,no_propublica_match,
Harvard Spaulding Rehab Hosp,MA,Charlestown,1,1,24,4.8,1.0,,,,True,False,no_propublica_match,
Health Education Services,TN,Franklin,23,6,410,82.0,0.802014652014652,G01,G,Health Education Services,False,False,pslf_eligible_501c3,3.0
HealthONE,CO,Denver,15,7,354,70.8,0.9646384479717813,C60,C,Healthcode,False,False,pslf_eligible_501c3,3.0
HealthPartners Institute,MN,St Paul,4,3,81,16.2,0.8508771929824562,E110,E,Healthpartners Institute Healthpartners Institute For Educat,False,False,pslf_eligible_501c3,3.0
HealthPoint,WA,Renton,1,1,6,1.2,0.8333333333333334,E32Z,E,Healthpoint,False,False,pslf_eligible_501c3,3.0
Hennepin Co Med Ctr,MN,Minneapolis,9,7,314,62.8,0.9390243902439024,,,American Federation Of State County & Municipal Employees L1719 Mn Hennepin Co Correctnl,False,False,pslf_unclear_other_subsec,5.0
Henry Ford Genesys Hospital,MI,Grand Blanc,6,6,201,40.2,0.8318803418803419,E22,E,Henry Ford Health Genesys Hospital,False,False,pslf_eligible_501c3,3.0
Henry Ford Hospital,MI,Detroit,20,18,749,149.8,0.9574652777777778,A50,A,Henry Ford Estate,False,False,pslf_eligible_501c3,3.0
Henry Ford Jackson Hospital,MI,Jackson,6,6,188,37.6,0.9069444444444444,H120,H,Henry M Jackson Foundation For The Advancement Of Military Medicine Military Medical Res & Ed Fndn,False,False,pslf_eligible_501c3,3.0
Henry Ford Macomb Hospital,MI,Clinton Township,7,7,175,35.0,0.9392857142857143,E200,E,Henry Ford Macomb Hospital Corporation,False,False,pslf_eligible_501c3,3.0
Henry Ford Providence Hosp,MI,Southfield,10,9,276,55.2,0.9423611111111111,E22,E,Henry Ford Health Providence Hospital,False,False,pslf_eligible_501c3,3.0
Henry Ford St John Hosp,MI,Detroit,11,8,332,66.4,0.8200847763347763,E220,E,Henry Ford Health St John Hospital,False,False,pslf_eligible_501c3,3.0
Henry Ford Warren Hosp,MI,Warren,8,8,200,40.0,0.8573511904761905,A50,A,Henry Ford Estate,False,False,no_propublica_match,
Henry Ford Wyandotte Hospital,MI,Wyandotte,3,3,74,14.8,0.925,E220,E,Henry Ford Wyandotte Hospital Corporation,False,False,pslf_eligible_501c3,3.0
Heritage Valley Beaver,PA,Beaver Falls,41,21,1222,244.4,0.9944871794871796,,,Heritage Valley Beaver Foundation,False,False,pslf_eligible_501c3,3.0
Hidalgo Medical Services,NM,Silver City,1,1,2,0.4,1.0,,,Hidalgo Medical Services,False,False,pslf_eligible_501c3,3.0
Hilo Medical Center,HI,Hilo,2,2,55,11.0,0.9333333333333333,N65,N,Hilo Storm,False,False,pslf_eligible_501c3,3.0
Hinsdale Hospital,IL,Hinsdale,1,1,45,9.0,1.0,,,Pflag Hinsdale,False,False,pslf_eligible_501c3,3.0
HonorHealth,AZ,Scottsdale,9,5,136,27.2,0.9705882352941176,E200,E,Honorhealth,False,False,pslf_eligible_501c3,3.0
Hosp Episcopal San Lucas,PR,Ponce,7,6,214,42.8,0.9379382522239664,,,,False,False,no_propublica_match,
Hosp For Special Surgery,NY,New York,1,1,45,9.0,1.0,,,,False,False,no_propublica_match,
Hospital de la Concepcion,PR,San German,1,1,35,7.0,1.0,,,Hospital De La Concepcion Inc,False,False,pslf_eligible_501c3,3.0
Houston Healthcare,GA,Warner Robins,32,17,632,126.4,0.8993850367634526,X50,X,Kwekabaw Buddhist Society Of Housto Houston Tx,False,False,pslf_eligible_501c3,3.0
Howard Univ Hosp,DC,Washington,11,9,353,70.6,0.9767468380675928,,,,True,False,pslf_eligible_501c3,3.0
Hunterdon Med Ctr,NJ,Flemington,1,1,30,6.0,0.9,,,North Hunterdon North Hunterdon,False,False,pslf_eligible_501c3,3.0
Huntington Memorial Hosp,CA,Pasadena,4,2,85,17.0,0.909375,E220,E,Huntington Memorial Hospital Inc,False,False,pslf_eligible_501c3,3.0
Hurley Medical Ctr,MI,Flint,5,5,168,33.6,0.8722222222222222,,,,False,False,no_propublica_match,
ISMMS Mount Sinai Beth Israel,NY,New York,6,3,229,45.8,1.0,,,,True,True,no_propublica_match,
ISMMS Mount Sinai Hospital,NY,New York,47,24,1349,269.8,0.967966135519327,,,,True,True,no_propublica_match,
ISMMS Mount Sinai Morningside-West,NY,New York,17,9,751,150.2,1.0,,,,True,True,no_propublica_match,
ISMMS Mount Sinai South Nassau,NY,Oceanside,6,5,136,27.2,0.962797619047619,,,,True,True,no_propublica_match,
ISMMS NYC Health+Hospitals/Elmhurst,NY,Elmhurst,3,2,209,41.8,0.9863247863247864,,,,True,False,no_propublica_match,
ISMMS NYC Health+Hospitals/Queens,NY,Jamaica,4,3,161,32.2,0.9140625,,,,True,False,no_propublica_match,
ISMMS Valley Health System,NJ,Paramus,3,3,33,6.6,1.0,T50,T,Value Valley Nonprofit Corporation,True,False,no_propublica_match,
In His Image Family Med,OK,Tulsa,1,1,50,10.0,0.9400000000000001,,,,False,False,no_propublica_match,
Inova Fairfax Hospital,VA,Falls Church,6,6,237,47.4,0.9974358974358974,E110,E,Inova Health System Foundation Fairfax Hospital Foundation,False,False,pslf_eligible_501c3,3.0
Inspira Health Network,NJ,Vineland,16,10,480,96.0,0.7847086247086247,E21,E,Inspira Health Network Inc,False,False,pslf_eligible_501c3,3.0
Institute for Family Health,NY,New York,3,1,87,17.4,0.8666666666666667,E320,E,The Institute For Family Health,False,False,pslf_eligible_501c3,3.0
Integris Health,OK,Oklahoma City,4,3,84,16.8,0.9895833333333334,E210,E,Integris Health Inc,False,False,pslf_eligible_501c3,3.0
Intermountain Med Ctr,UT,Murray,2,2,42,8.4,1.0,F113,F,Intermountain Foundation,False,False,pslf_eligible_501c3,3.0
Iredell Health System,NC,Statesville,1,1,7,1.4,1.0,B94,B,Iredell Isd Pto,True,False,pslf_eligible_501c3,3.0
JFK Med Ctr,NJ,Edison,13,7,308,61.6,0.967948717948718,B11,B,Jfk Booster Club,True,False,pslf_eligible_501c3,3.0
JHME-Jefferson Einstein Montgomery,PA,Philadelphia,7,6,203,40.6,0.9657738095238095,,,,False,False,no_propublica_match,
JHME-Jefferson Einstein Philadelphia,PA,Philadelphia,19,12,578,115.6,0.9422969187675071,,,,False,False,no_propublica_match,
Jackson Park Hosp,IL,Chicago,1,1,7,1.4,1.0,P40,P,Jackson Park Ministries,False,False,pslf_eligible_501c3,3.0
Jacobi Med Ctr/Einstein,NY,Bronx,9,3,362,72.4,1.0,,,,False,False,no_propublica_match,
Jamaica Hosp Med Ctr,NY,Jamaica,5,4,137,27.4,0.8571428571428571,Q30,Q,Professional Jamaicans For Jamaica Pjfj,False,False,pslf_eligible_501c3,3.0
Jefferson Health-Northeast,PA,Philadelphia,6,4,162,32.4,0.8949588477366255,E220,E,Jefferson Health Northeast,True,False,pslf_eligible_501c3,3.0
Jersey Shore Univ Med Ctr,NJ,Neptune,23,7,283,56.6,0.9609302054154994,,,,True,False,no_propublica_match,
Jessie Trice Comm Hlth Sys,FL,Miami,1,1,4,0.8,1.0,,,,False,False,no_propublica_match,
Jewish Hospital,OH,Cincinnati,4,2,120,24.0,0.8492007992007993,P750,P,Jewish Home,False,False,pslf_eligible_501c3,3.0
John Muir Health,CA,Walnut Creek,1,1,40,8.0,1.0,E210,E,John Muir Health,False,False,pslf_eligible_501c3,3.0
John Peter Smith Hosp,TX,Fort Worth,6,6,343,68.6,0.9972222222222222,G03,G,John Peter Smith Hospital Family Medicine Alumni Foundation,False,False,pslf_eligible_501c3,3.0
Johns Hopkins All Childrens Hosp,FL,St Petersburg,3,2,63,12.6,0.8333333333333333,E240,E,Johns Hopkins All Childrens Hospital Inc,False,True,pslf_eligible_501c3,3.0
Johns Hopkins Bloomberg SPH,MD,Baltimore,2,1,4,0.8,1.0,B430,B,Johns Hopkins University,True,True,no_propublica_match,
Johns Hopkins Hosp,MD,Baltimore,50,21,1172,234.4,0.9364399092970521,B430,B,Johns Hopkins University,True,True,pslf_eligible_501c3,3.0
Johns Hopkins/Bayview,MD,Baltimore,4,1,110,22.0,1.0,E220,E,Johns Hopkins Bayview Medical Center Inc,False,True,pslf_eligible_501c3,3.0
Johnston Memorial Hosp,VA,Abingdon,3,2,59,11.8,0.45285714285714285,J99Z,J,Johnson Memorial Foundation,False,False,pslf_eligible_501c3,3.0
KCU-GME Consortium,MO,Kansas City,13,8,205,41.0,0.8962522045855379,,,,False,False,no_propublica_match,
KPC Health Hemet Valley Med Ctr,CA,Corona,5,2,96,19.2,0.890909090909091,T50,T,Value Valley Nonprofit Corporation,False,False,no_propublica_match,
Kadlec Regional Med Ctr,WA,Richland,3,1,70,14.0,0.9833333333333333,E220,E,Kadlec Regional Medical Center,False,False,pslf_eligible_501c3,3.0
Kaiser Permanente Mid-Atlantic,MD,Gaithersburg,1,1,30,6.0,1.0,L20,L,Vision Atlantic Inc,False,False,no_propublica_match,
Kaiser Permanente-Central Valley,CA,Modesto,1,1,40,8.0,1.0,T50,T,Value Valley Nonprofit Corporation,False,False,no_propublica_match,
Kaiser Permanente-Fontana,CA,Fontana,4,3,128,25.6,1.0,,,,False,False,no_propublica_match,
Kaiser Permanente-Los Angeles,CA,Pasadena,14,10,296,59.2,0.9533333333333334,,,,False,False,no_propublica_match,
Kaiser Permanente-Napa/Solano,CA,Vallejo,1,1,30,6.0,1.0,,,,False,False,no_propublica_match,
Kaiser Permanente-Oakland,CA,Pleasanton,9,5,220,44.0,0.9798701298701299,,,,False,False,no_propublica_match,
Kaiser Permanente-Orange Co,CA,Santa Ana,1,1,40,8.0,1.0,,,,False,False,no_propublica_match,
Kaiser Permanente-Riverside,CA,Riverside,1,1,30,6.0,1.0,,,,False,False,no_propublica_match,
Kaiser Permanente-SF,CA,San Francisco,5,3,116,23.2,0.9863636363636363,,,,False,False,no_propublica_match,
Kaiser Permanente-Sacramento Valley,CA,Sacramento,2,1,30,6.0,1.0,T50,T,Value Valley Nonprofit Corporation,False,False,no_propublica_match,
Kaiser Permanente-San Diego,CA,San Diego,2,2,60,12.0,1.0,,,,False,False,no_propublica_match,
Kaiser Permanente-San Jose,CA,San Jose,2,2,60,12.0,1.0,,,,False,False,no_propublica_match,
Kaiser Permanente-Santa Clara,CA,Santa Clara,4,2,130,26.0,0.9625,,,,False,False,no_propublica_match,
Kaiser Permanente-Santa Rosa,CA,Santa Rosa,1,1,31,6.2,1.0,,,,False,False,no_propublica_match,
Kaiser Permanente-Woodland Hills,CA,Woodland Hills,1,1,30,6.0,1.0,,,,False,False,no_propublica_match,
Kaweah Delta Health Care District,CA,Visalia,8,6,243,48.6,0.8814102564102564,,,,False,False,pslf_eligible_501c3,3.0
Keck School of Medicine of USC,CA,Los Angeles,2,2,40,8.0,1.0,,,,True,False,no_propublica_match,
Kendall Regional Med Ctr,FL,Miami,8,5,56,11.2,0.765625,,,,False,False,no_propublica_match,
Kent Hospital,RI,Warwick,1,1,40,8.0,0.925,S99,S,Kent Downtown,False,False,pslf_eligible_501c3,3.0
Keralty Hospital,FL,Miami,1,1,19,3.8,1.0,E60,E,Keralty Compassionate Communities Inc,False,False,pslf_eligible_501c3,3.0
Kern Med Ctr,CA,Bakersfield,6,5,148,29.6,0.9583333333333334,D20,D,Kern Project,False,False,pslf_eligible_501c3,3.0
Kettering Health Network,OH,Kettering,17,11,364,72.8,0.9614884135472371,,,Kettering Adventist Healthcare Kettering Health Network,False,False,pslf_eligible_501c3,3.0
Kirk Kerkorian SOM at UNLV,NV,Las Vegas,14,10,372,74.4,0.8705336951605609,,,,False,False,no_propublica_match,
Kootenai Health,ID,,1,1,34,6.8,0.9428571428571428,E22,E,Kootenai Health Inc,False,False,pslf_eligible_501c3,3.0
LECOM Health,PA,Erie,5,5,89,17.8,0.7616666666666667,E11,E,Lecom Health Risk Retention Group,False,False,pslf_eligible_501c3,3.0
LSU SOM-Baton Rouge,LA,Baton Rouge,6,4,181,36.2,0.9895833333333334,,,,True,False,no_propublica_match,
LSU SOM-New Orleans,LA,New Orleans,29,21,793,158.6,0.9608900148672875,,,,True,False,no_propublica_match,
LSUHSC University Hosps & Clinics,LA,Lafayette,3,2,98,19.6,0.9053571428571429,,,,True,False,no_propublica_match,
LSUHSC-Lake Charles,LA,Lake Charles,1,1,35,7.0,0.7714285714285714,,,,True,False,no_propublica_match,
LSUHSC-Shreveport,LA,Shreveport,25,16,638,127.6,0.9412280701754385,,,,True,False,no_propublica_match,
La Grange Mem Hosp,IL,La Grange,1,1,35,7.0,0.9714285714285715,,,,False,False,no_propublica_match,
La Maestra Family Clinic Inc,CA,San Diego,1,1,2,0.4,1.0,E320,E,La Maestra Family Clinic Inc,False,False,pslf_eligible_501c3,3.0
Lahey Clinic,MA,Burlington,9,6,192,38.4,0.9797979797979799,E300,E,Lahey Clinic Inc,False,False,pslf_eligible_501c3,3.0
Lake Cumberland Regional Hosp,KY,Somerset,2,2,39,7.8,0.8690476190476191,F300,F,Lake Cumberland Regional Mental Health Mental Retardation Board In,False,False,pslf_eligible_501c3,3.0
Lake Granbury Med Ctr,TX,Granbury,1,1,4,0.8,0.5,A51,A,Lake Granbury Art Association,False,False,pslf_eligible_501c3,3.0
Lakeland Regional Health,FL,Lakeland,6,6,207,41.4,0.8672839506172839,E210,E,Lakeland Regional Health Systems Inc,False,False,pslf_eligible_501c3,3.0
Lakeside Med Ctr,FL,Belle Glade,1,1,25,5.0,0.8400000000000001,S200,S,Lakeside Association,False,False,pslf_eligible_501c3,3.0
Lancaster Gen Hosp,PA,Lancaster,1,1,65,13.0,1.0,,,,False,False,pslf_eligible_501c3,3.0
Lankenau Med Ctr,PA,Wynnewood,6,4,213,42.6,0.9230769230769231,E112,E,Lankenau Medical Center Foundation,False,False,pslf_eligible_501c3,3.0
Larkin Comm Hosp Palm Springs Campus,FL,Hialeah,10,7,177,35.4,0.8902116402116403,,,,False,False,no_propublica_match,
Larkin Community Hospital,FL,South Miami,13,10,299,59.8,0.9525462962962963,,,Larkin Community Center,False,False,pslf_eligible_501c3,3.0
Lawndale Christian Health Ctr,IL,Chicago,1,1,28,5.6,1.0,X20,X,Christ Life Church Corpus Christi,False,False,no_propublica_match,
Legacy Emanuel/Good Samaritan,OR,Portland,46,23,1103,220.6,0.9617992424242423,X21,X,Good Samaritan,False,False,no_propublica_match,
Legacy Salmon Creek Med Ctr,WA,Vancouver,1,1,48,9.6,1.0,E22,E,Legacy Salmon Creek Hospital,False,False,pslf_eligible_501c3,3.0
Lehigh Valley Hosp,PA,Allentown,19,13,484,96.8,0.930672268907563,F70,F,Lehigh Valley Dbsa Lehigh Valley,False,False,pslf_eligible_501c3,3.0
Lemuel Shattuck Hosp,MA,Jamaica Plain,2,1,43,8.6,1.0,J40,J,American Federation Of State County & Municipal Employees L1114 Ma Lemuel Shattuck Hospital Em,False,False,pslf_unclear_other_subsec,5.0
Leonard J Chabert Med Ctr,LA,Houma,1,1,16,3.2,0.9375,E112,E,Leonard J Chabert Medical Center Foundation,False,False,pslf_eligible_501c3,3.0
Lewis County Primary Care Ctr,KY,Vanceburg,1,1,8,1.6,0.625,,,,False,False,no_propublica_match,
LewisGale Med Ctr,VA,Salem,5,5,281,56.2,0.4527777777777778,,,Pta Maryland Congress Of Parent & Teachers Inc Pta At Lewisdale Inc,False,False,pslf_eligible_501c3,3.0
Lexington Med Ctr,SC,West Columbia,2,2,79,15.8,0.38186813186813184,P20,P,Mission Lexington,False,False,pslf_eligible_501c3,3.0
Liberty Univ COM,VA,Lynchburg,1,1,12,2.4,0.19999999999999998,,,,True,False,no_propublica_match,
Lifelong Medical Care,CA,Berkeley,1,1,30,6.0,0.9333333333333332,E320,E,Lifelong Medical Care,False,False,pslf_eligible_501c3,3.0
Lincoln Med Ctr,NY,Bronx,9,7,505,101.0,0.9930828861061419,F33Z,F,Lincoln,False,False,pslf_eligible_501c3,3.0
Lincoln Med Ed Partnership,NE,Lincoln,33,20,753,150.6,0.9552980132450332,F33Z,F,Lincoln,False,False,no_propublica_match,
Loma Linda Univ Med Ctr-Murrieta,CA,Murrieta,2,2,78,15.6,0.9583333333333334,,,,True,False,pslf_eligible_501c3,3.0
Loma Linda University,CA,Loma Linda,43,24,1012,202.4,0.980811677494586,B430,B,Loma Linda University,True,True,pslf_eligible_501c3,3.0
Long Beach Mem Med Ctr,CA,Long Beach,1,1,40,8.0,1.0,,,,False,False,no_propublica_match,
Long Island Community Hosp,NY,Patchogue,1,1,10,2.0,1.0,,,Long Island Community Library,False,False,pslf_eligible_501c3,3.0
Los Robles Health System,CA,Thousand Oaks,8,6,206,41.2,0.9392857142857143,L80,L,Los Robles Housing Association,False,False,pslf_eligible_501c3,3.0
Lower Bucks Hosp,PA,Bristol,2,2,55,11.0,1.0,N60,N,Lower Bucks Outlaws,False,False,pslf_eligible_501c3,3.0
Loyola Univ Med Ctr,IL,Maywood,21,18,668,133.6,0.9564545454545454,,,,True,False,pslf_eligible_501c3,3.0
Lynchburg Fam Med Res,VA,Lynchburg,1,1,45,9.0,0.9111111111111111,,,,False,False,no_propublica_match,
MGB-Brigham & Womens Hosp,MA,Boston,41,12,1597,319.4,0.9751256281407036,T21,T,Brigham City Womens Club Afghann Lcc,False,True,no_propublica_match,
MHC Healthcare,AZ,Marana,1,1,8,1.6,1.0,D11,D,Mhc Foundation,False,False,pslf_eligible_501c3,3.0
MSUCOM Statewide Campus Sys,MI,East Lansing,1,1,19,3.8,0.75,,,,False,False,no_propublica_match,
MacNeal Hospital,IL,Berwyn,4,3,201,40.2,0.9363636363636363,T22,T,Macneal Foundation,False,False,pslf_eligible_501c3,3.0
Magnolia Regional Health Ctr,MS,Corinth,2,2,66,13.2,0.8666666666666666,,,,False,False,no_propublica_match,
Maimonides Med Ctr,NY,Brooklyn,17,11,599,119.8,0.966421568627451,X30,X,Maimonides Way,False,False,pslf_eligible_501c3,3.0
Manatee Memorial Hosp,FL,Bradenton,2,2,75,15.0,0.9454545454545455,T30,T,Manatee Memorial Foundation Inc,False,False,pslf_eligible_501c3,3.0
Marian Regional Med Ctr,CA,Santa Maria,2,2,45,9.0,1.0,E11,E,Marian Regional Medical Center Foundation,False,False,pslf_eligible_501c3,3.0
Marianjoy Rehab Hosp,IL,Wheaton,1,1,30,6.0,1.0,,,,False,False,no_propublica_match,
Marion Health,IN,Marion,1,1,12,2.4,1.0,,,Marin Health Fund,False,False,pslf_eligible_501c3,3.0
Marshall Community Health,WV,Huntington,4,4,37,7.4,0.875,E11,E,Marshall Foundation For Community Health,False,False,pslf_eligible_501c3,3.0
Marshall University SOM,WV,Huntington,11,9,333,66.6,0.8884920634920636,,,,True,True,no_propublica_match,
Marshfield Clinic,WI,Marshfield,46,22,1222,244.4,0.9649831649831649,E300,E,Marshfield Clinic Inc,False,False,pslf_eligible_501c3,3.0
Mary Free Bed Hospital,MI,Grand Rapids,1,1,20,4.0,1.0,E240,E,Mary Free Bed Rehabilitation Hospital Mary Free Bed Hospital And Rehab,False,False,pslf_eligible_501c3,3.0
Mary Washington Healthcare,VA,Fredericksburg,5,5,97,19.4,0.9166666666666667,E22,E,Mary Washington Healthcare Mary Washington Healthcare Physicia,False,False,pslf_eligible_501c3,3.0
Mass General Brigham,MA,Boston,26,15,412,82.4,0.9636363636363636,E21,E,Mass General Brigham Incorporated Mass General Brigham Amsurg Inc,False,True,pslf_eligible_501c3,3.0
Mayo Clinic School of Grad Med Educ,AZ,Scottsdale,122,23,2761,552.2,0.9745323981295926,,,,True,True,no_propublica_match,
McKay-Dee Hospital Ctr,UT,Ogden,72,22,1433,286.6,0.9705327281414237,,,,False,False,no_propublica_match,
McLaren Health Care Corp,MI,Grand Blanc,35,11,676,135.2,0.8581000643500644,,,,False,False,pslf_unclear_other_subsec,5.0
McLeod Reg Med Ctr,SC,Florence,79,24,1979,395.8,0.9139819910529969,,,,False,False,no_propublica_match,
Meadville Med Ctr,PA,Meadville,1,1,20,4.0,0.65,,,Meadville Plaza,False,False,pslf_eligible_501c3,3.0
MedStar Franklin Square Med Ctr,MD,Baltimore,5,4,66,13.2,0.9558823529411765,,,Toastmasters International 1224847 Medstar Franklin Square Toa,False,False,pslf_eligible_501c3,3.0
MedStar Georgetown Univ Hosp,DC,Washington,19,15,581,116.2,0.9035759897828863,,,,True,False,pslf_eligible_501c3,3.0
MedStar National Rehab Hosp,DC,Washington,1,1,30,6.0,1.0,,,,False,False,no_propublica_match,
MedStar Union Memorial Hosp,MD,Baltimore,8,3,326,65.2,0.9555555555555556,E12,E,Medstar Union Memorial Auxiliary,False,False,pslf_eligible_501c3,3.0
MedStar Washington Hosp Ctr,DC,Washington,9,7,355,71.0,0.9880952380952381,,,,False,False,no_propublica_match,
Meharry Medical College,TN,Nashville,7,6,159,31.8,0.6102564102564103,B500,B,Meharry Medical College,True,False,pslf_eligible_501c3,3.0
Memorial Health System,OH,Marietta,3,3,62,12.4,0.8409090909090909,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,False,False,pslf_eligible_501c3,3.0
Memorial Health Univ Med Ctr,GA,Savannah,8,6,202,40.4,0.8225091575091575,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,True,False,pslf_eligible_501c3,3.0
Memorial Healthcare System,FL,Pembroke Pines,11,10,345,69.0,1.0,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,False,False,pslf_eligible_501c3,3.0
Memorial Hermann Hosp,TX,Sugar Land,1,1,70,14.0,1.0,E110,E,Memorial Hermann Foundation,False,False,pslf_eligible_501c3,3.0
Memorial Hospital,IN,South Bend,1,1,48,9.6,1.0,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,False,False,pslf_eligible_501c3,3.0
Memorial Hospital at Gulfport,MS,Gulfport,2,2,70,14.0,0.625,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,False,False,no_propublica_match,
Memorial Med Ctr,NM,Las Cruces,2,1,62,12.4,1.0,,,Cedar Memorial Park Cemetery Chapel Of Memories Trust,False,False,pslf_eligible_501c3,3.0
Memorial Sloan-Kettering,NY,New York,2,2,150,30.0,1.0,E120,E,Memorial Sloan Kettering Cancer Center,False,True,pslf_eligible_501c3,3.0
Mercy Catholic Med Ctr,PA,Darby,6,4,214,42.8,0.839047619047619,X22,X,Divine Mercy Catholic Community,False,False,pslf_eligible_501c3,3.0
Mercy Health System,WI,Janesville,2,1,41,8.2,0.8571428571428572,P28,P,Mercy Association Mercy Cooperation,False,False,pslf_eligible_501c3,3.0
Mercy Health-Anderson Hosp,OH,Cincinnati,3,3,44,8.8,0.6875,P28,P,Mercy Association Mercy Cooperation,False,False,no_propublica_match,
Mercy Health-St Ritas Med Ctr,OH,Lima,3,3,120,24.0,0.85,,,Mount St Rita Health Centre Sisters Of Mercy,False,False,pslf_eligible_501c3,3.0
Mercy Hospital St Louis,MO,St Louis,4,4,142,28.4,0.975,P28,P,Mercy Association Mercy Cooperation,False,False,pslf_eligible_501c3,3.0
Mercy Med Ctr-Des Moines,IA,Des Moines,10,4,233,46.6,0.831439393939394,P28,P,Mercy Association Mercy Cooperation,False,False,no_propublica_match,
Mercy Med Ctr-Merced,CA,Merced,1,1,40,8.0,0.95,P28,P,Mercy Association Mercy Cooperation,False,False,pslf_eligible_501c3,3.0
Mercy Med Ctr-Redding,CA,Redding,1,1,30,6.0,0.5333333333333333,P28,P,Mercy Association Mercy Cooperation,False,False,pslf_eligible_501c3,3.0
Mercy St Vincent Med Ctr,OH,Toledo,12,9,290,58.0,0.964078374455733,E22I,E,St Vincent Mercy Hospital Foundation Inc,False,False,pslf_eligible_501c3,3.0
Mercyhealth GME Consortium,IL,Rockford,2,2,115,23.0,0.96,P28,P,Mercy Association Mercy Cooperation,False,False,no_propublica_match,
Merit Health Wesley,MS,Hattiesburg,9,5,270,54.0,0.790778474399164,,,,False,False,no_propublica_match,
Meritus Medical Center,MD,Hagerstown,2,2,35,7.0,0.9444444444444443,,,Meritus College Fund,False,False,pslf_eligible_501c3,3.0
Methodist Health System Dallas,TX,Dallas,5,4,140,28.0,0.9733333333333333,,,,False,False,pslf_eligible_501c3,3.0
Methodist Healthcare Memphis Hosps,TN,Memphis,1,1,18,3.6,0.2222222222222222,,,,False,False,no_propublica_match,
Methodist Healthcare Sys-San Antonio,TX,San Antonio,2,2,38,7.6,0.7,,,,False,False,no_propublica_match,
Methodist Hospital-Houston,TX,Houston,16,12,360,72.0,0.9942307692307693,X50,X,Kwekabaw Buddhist Society Of Housto Houston Tx,False,False,pslf_eligible_501c3,3.0
Methodist Med Ctr of Oak Ridge,TN,Oak Ridge,56,20,1420,284.0,0.8884202912809632,,,,False,False,no_propublica_match,
MetroWest Med Ctr-Framingham,MA,Framingham,2,2,100,20.0,0.925,,,,False,False,pslf_eligible_501c3,3.0
Middlesex Hospital,CT,Middleton,1,1,35,7.0,0.9714285714285715,,,Middlesex Church Pentecostal Holiness Church,False,False,pslf_eligible_501c3,3.0
Midwestern University OPTI,AZ,Phoenix,8,4,192,38.4,0.8708333333333333,,,,True,False,no_propublica_match,
Mission Community Hosp,CA,,3,3,55,11.0,0.978021978021978,K30,K,Community Mission,False,False,pslf_eligible_501c3,3.0
Mobile Infirmary Med Ctr,AL,Mobile,6,2,161,32.2,0.8834008097165993,E220,E,Mobile Infirmary Association,False,False,pslf_eligible_501c3,3.0
Mohawk Valley Health Sys,NY,Utica,6,5,88,17.6,0.796875,T50,T,Value Valley Nonprofit Corporation,False,False,no_propublica_match,
Montefiore Med Ctr/Einstein,NY,Bronx,40,22,1369,273.8,0.9391130781914433,,,,False,False,pslf_eligible_501c3,3.0
Montefiore St Lukes Cornwall,NY,Newburgh,1,1,58,11.6,1.0,,,St Lukes,False,False,no_propublica_match,
Montefiore-New Rochelle/Einstein,NY,New Rochelle,2,1,103,20.6,1.0,,,,False,False,no_propublica_match,
Morehouse Sch of Med,GA,Atlanta,21,10,654,130.8,0.9158357075023742,,,,False,False,no_propublica_match,
Mount Carmel Health System,OH,Grove City,6,5,128,25.6,0.7548185941043084,,,Mount Carmel,False,False,pslf_eligible_501c3,3.0
Mountain AHEC,NC,Asheville,10,6,343,68.6,0.9159212880143113,,,,False,False,no_propublica_match,
Mountain State OPTI,WV,Lewisburg,6,4,29,5.8,0.8472222222222222,,,,False,False,no_propublica_match,
Mountain States Institute,ID,Meridian,1,1,6,1.2,1.0,E240,E,Mountain States Tumor Institute Inc,False,False,pslf_eligible_501c3,3.0
MountainView Reg Med Ctr,NM,Las Cruces,7,4,83,16.6,0.8734567901234568,,,,False,False,no_propublica_match,
Mountainside Hosp,NJ,Montclair,5,2,81,16.2,1.0,M24,M,Mountainside Rescue Squad Borough Of Mountainside Nj,False,False,pslf_eligible_501c3,3.0
Mt Auburn Hospital,MA,Boston,5,2,125,25.0,0.9802631578947368,S20,S,Mt Auburn Cdc,False,False,pslf_eligible_501c3,3.0
Mt Sinai Hosp Med Ctr,IL,Chicago,2,2,32,6.4,0.8888888888888888,,,Mt Sinai,False,False,pslf_eligible_501c3,3.0
Mt Sinai Med Ctr-Miami,FL,Miami Beach,10,8,260,52.0,0.9481646825396824,,,Mt Sinai,False,False,pslf_eligible_501c3,3.0
MultiCare Health System,WA,Tacoma,3,1,60,12.0,0.7878787878787878,E120,E,Multicare Foundations,False,False,pslf_eligible_501c3,3.0
Munson Med Ctr,MI,Traverse City,1,1,30,6.0,0.9333333333333332,,,Munson Healthcare,False,False,pslf_eligible_501c3,3.0
