institution,state,city,n_unique_programs,n_specialties,total_quota_5y,annual_residents_pgy1,avg_fill_rate,ntee_code,ntee_top_level,propublica_sub_name,university_affiliation,academic_med_center,pslf_class_propublica,subsec_code
WiNC GME Consortium,WI,Wausau,9,2,160,32.0,0.9145021645021645,,,,False,False,pslf_eligible_501c3,3.0
William Beaumont Army Med Ctr,TX,El Paso,3,3,25,5.0,0.65,,,,False,False,pslf_eligible_gov,
Willis-Knighton Health System,LA,Shreveport,29,13,588,117.6,0.9506983756983758,E220,E,Willis Knighton Medical Center,False,False,pslf_eligible_501c3,3.0
Womack Army Med Ctr,NC,Fort Liberty,1,1,6,1.2,1.0,,,,False,False,pslf_eligible_gov,
Woodhull Med Ctr,NY,Brooklyn,3,1,115,23.0,0.8571428571428571,K20,K,Woodhill,False,False,pslf_eligible_501c3,3.0
Wright Center for GME,PA,Scranton,11,4,324,64.8,0.8413978494623655,G95Z,G,The Wright Center For Graduate Medical Education,True,False,pslf_eligible_501c3,3.0
Wright State Univ Boonshoft SOM,OH,Dayton,14,11,324,64.8,0.9487599879390924,,,,True,False,no_propublica_match,
Wyckoff Heights Med Ctr,NY,Brooklyn,6,5,189,37.8,0.9807692307692307,E21,E,Wyckoff Heights Medical Center Wyckoff Heights Medical Center 1099,False,False,pslf_eligible_501c3,3.0
Yakima Valley Farm Workers Clinic,WA,Toppenish,1,1,20,4.0,0.25,E320,E,Yakima Valley Farm Workers Clinic Family Medical Center,False,False,pslf_eligible_501c3,3.0
Yale-New Haven Hosp,CT,New Haven,44,22,1375,275.0,0.9957824316463061,E220,E,Yale New Haven Hospital,True,True,pslf_eligible_501c3,3.0
Yuma Regional Med Ctr,AZ,Yuma,6,3,154,30.8,0.9156862745098039,E20,E,Yuma Regional Medical Center,False,False,pslf_eligible_501c3,3.0
Zucker SOM Northern Westchester Med Ctr,NY,Mount Kisko,2,1,32,6.4,1.0,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Cohen Childrens,NY,New Hyde Park,6,2,178,35.6,0.8823529411764706,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Forest Hills Hosp,NY,Forest Hills,2,1,69,13.8,0.9416666666666667,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Glen Cove Hosp,NY,Glen Cove,1,1,35,7.0,1.0,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Huntington Hosp,NY,Huntington,1,1,24,4.8,1.0,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Lenox Hill Hosp,NY,New York,13,9,316,63.2,0.9649122807017544,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Mather Hosp,NY,Port Jefferson,10,5,198,39.6,1.0,,,,False,False,no_propublica_match,
Zucker SOM-Northwell NS/LIJ,NY,New Hyde Park,28,19,847,169.4,0.9294871794871795,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Peconic Bay,NY,Riverhead,2,2,87,17.4,1.0,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Phelps Hosp,NY,Sleepy Holllow,1,1,40,8.0,1.0,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Plainview Hosp,NY,Plainview,3,3,106,21.2,1.0,,,,False,False,no_propublica_match,
Zucker SOM-Northwell South Shore,NY,Bay Shore,10,6,150,30.0,0.8270833333333333,,,,False,False,no_propublica_match,
Zucker SOM-Northwell Staten Island Univ,NY,Staten Island,20,10,533,106.6,0.988425925925926,,,,True,False,no_propublica_match,
Zucker SOM-Northwell Zucker Hillside,NY,Glen Oaks,2,1,65,13.0,1.0,,,,False,False,no_propublica_match,
