state,year,n,mean_polarity,sd_polarity,pct_negative
MI,2018,3,0.13905,0.05222,0.00000
MI,2019,3,0.10150,0.06720,0.00000
MI,2020,11,0.12296,0.09058,0.00000
MI,2021,6,0.03038,0.11725,16.66667
MI,2022,14,0.07319,0.11098,7.14286
MI,2023,31,0.08805,0.10482,6.45161
MI,2024,22,0.11000,0.14606,13.63636
MI,2025,34,0.09697,0.18406,17.64706
MN,2018,6,0.14499,0.07425,0.00000
MN,2019,3,0.11319,0.04069,0.00000
MN,2020,2,0.12097,0.00208,0.00000
MN,2021,4,0.19949,0.16101,0.00000
MN,2022,23,0.05367,0.15716,13.04348
MN,2023,18,0.14653,0.09000,0.00000
MN,2024,9,0.04213,0.14528,22.22222
MN,2025,9,0.13107,0.07119,0.00000
MO,2018,2,-0.04081,0.13085,50.00000
MO,2019,3,0.10697,0.03209,0.00000
MO,2020,5,0.07002,0.12967,20.00000
MO,2021,9,0.11826,0.15458,11.11111
MO,2022,69,0.05949,0.15648,15.94203
MO,2023,67,0.01406,0.18209,23.88060
MO,2024,132,0.04917,0.15069,19.69697
MO,2025,82,0.06945,0.12220,8.53659
MS,2018,3,-0.00916,0.21407,33.33333
MS,2019,7,0.08537,0.07025,0.00000
MS,2020,8,0.12664,0.12089,12.50000
MS,2021,21,0.12446,0.22760,9.52381
MS,2022,44,0.08179,0.09936,2.27273
MS,2023,67,0.10877,0.15064,5.97015
MS,2024,41,0.07521,0.10274,7.31707
MS,2025,38,0.07823,0.12163,13.15789
MT,2018,3,0.08771,0.02910,0.00000
MT,2019,1,0.06985,,0.00000
MT,2020,1,0.03285,,0.00000
MT,2022,2,0.01349,0.15314,50.00000
MT,2023,2,0.03275,0.10190,0.00000
MT,2024,4,0.04321,0.03581,0.00000
MT,2025,12,0.07627,0.03359,0.00000
NC,2018,2,0.15036,0.07020,0.00000
NC,2019,6,0.13288,0.10226,0.00000
NC,2020,5,-0.00358,0.20026,20.00000
NC,2021,18,0.06573,0.04756,0.00000
NC,2022,27,0.09885,0.19760,14.81481
NC,2023,30,0.10897,0.10182,3.33333
NC,2024,30,0.05821,0.12089,13.33333
NC,2025,37,0.07498,0.14492,8.10811
ND,2018,1,0.17292,,0.00000
ND,2019,1,0.01995,,0.00000
ND,2020,1,0.09446,,0.00000
ND,2021,2,0.10000,0.00000,0.00000
ND,2022,4,0.15712,0.31607,25.00000
ND,2023,1,0.00000,,0.00000
ND,2024,4,0.10863,0.03649,0.00000
ND,2025,2,0.16255,0.03381,0.00000
NE,2018,1,0.05171,,0.00000
NE,2020,3,0.14836,0.07144,0.00000
NE,2022,38,0.09038,0.15638,13.15789
NE,2023,19,0.02268,0.13489,21.05263
