institution,state,program_name,program_code,specialty_code,specialty,program_type_code,program_type,year,quota,filled,fill_rate,pslf_class,pslf_evidence,city
Thomas Hospital,AL,Interventional Radiology (Integ),1007416A0,416,Interventional Radiology,A,Advanced,2025,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Interventional Radiology (Integ),1007416A0,416,Interventional Radiology,A,Advanced,2024,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Interventional Radiology (Integ),1007416A0,416,Interventional Radiology,A,Advanced,2023,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Interventional Radiology (Integ),1007416A0,416,Interventional Radiology,A,Advanced,2022,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Interventional Radiology (Integ),1007416A0,416,Interventional Radiology,A,Advanced,2021,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiology-Diagnostic,1007420A0,420,Radiology-Diagnostic,A,Advanced,2025,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiology-Diagnostic,1007420A0,420,Radiology-Diagnostic,A,Advanced,2024,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiology-Diagnostic,1007420A0,420,Radiology-Diagnostic,A,Advanced,2023,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiology-Diagnostic,1007420A0,420,Radiology-Diagnostic,A,Advanced,2022,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiology-Diagnostic,1007420A0,420,Radiology-Diagnostic,A,Advanced,2021,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiation Oncology,1007430A0,430,Radiation Oncology,A,Advanced,2025,3,3,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiation Oncology,1007430A0,430,Radiation Oncology,A,Advanced,2024,3,2,0.6666666666666666,ambiguous,,Fairhope
Thomas Hospital,AL,Radiation Oncology,1007430A0,430,Radiation Oncology,A,Advanced,2023,3,3,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiation Oncology,1007430A0,430,Radiation Oncology,A,Advanced,2022,3,2,0.6666666666666666,ambiguous,,Fairhope
Thomas Hospital,AL,Radiation Oncology,1007430A0,430,Radiation Oncology,A,Advanced,2021,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiation Oncology/Research,1007430A1,430,Radiation Oncology,A,Advanced,2021,1,0,0.0,ambiguous,,Fairhope
Thomas Hospital,AL,Radiation Oncology,1007430R0,430,Radiation Oncology,R,Physician (PGY-2 entry),2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,General Surgery,1007440C0,440,Surgery-General,C,Categorical,2025,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,General Surgery,1007440C0,440,Surgery-General,C,Categorical,2024,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,General Surgery,1007440C0,440,Surgery-General,C,Categorical,2023,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,General Surgery,1007440C0,440,Surgery-General,C,Categorical,2022,7,7,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,General Surgery,1007440C0,440,Surgery-General,C,Categorical,2021,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Gen Surg/Integ 4/3 CT Surgery,1007440C1,440,Surgery-General,C,Categorical,2025,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Gen Surg/Integ 4/3 CT Surgery,1007440C1,440,Surgery-General,C,Categorical,2024,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Gen Surg/Integ 4/3 CT Surgery,1007440C1,440,Surgery-General,C,Categorical,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Gen Surg/Integ 4/3 CT Surgery,1007440C1,440,Surgery-General,C,Categorical,2022,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Gen Surg/Integ 4/3 CT Surgery,1007440C1,440,Surgery-General,C,Categorical,2021,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Surgery-Preliminary,1007440P2,440,Surgery-General,P,Preliminary,2025,2,2,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Surgery-Preliminary,1007440P2,440,Surgery-General,P,Preliminary,2024,2,0,0.0,ambiguous,,Fairhope
Thomas Hospital,AL,Surgery-Preliminary,1007440P2,440,Surgery-General,P,Preliminary,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Surgery-Preliminary,1007440P2,440,Surgery-General,P,Preliminary,2022,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Surgery-Preliminary,1007440P2,440,Surgery-General,P,Preliminary,2021,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Vascular Surgery,1007451C0,451,Vascular Surgery,C,Categorical,2025,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Vascular Surgery,1007451C0,451,Vascular Surgery,C,Categorical,2024,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Vascular Surgery,1007451C0,451,Vascular Surgery,C,Categorical,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Vascular Surgery,1007451C0,451,Vascular Surgery,C,Categorical,2022,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Vascular Surgery,1007451C0,451,Vascular Surgery,C,Categorical,2021,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Pediatrics,1007700C0,700,Other,C,Categorical,2025,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Pediatrics,1007700C0,700,Other,C,Categorical,2024,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Pediatrics,1007700C0,700,Other,C,Categorical,2023,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Pediatrics,1007700C0,700,Other,C,Categorical,2022,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Pediatrics,1007700C0,700,Other,C,Categorical,2021,4,4,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics-Medical Genetics,1007765C0,765,Other,C,Categorical,2025,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics-Medical Genetics,1007765C0,765,Other,C,Categorical,2024,1,0,0.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics-Medical Genetics,1007765C0,765,Other,C,Categorical,2023,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics-Medical Genetics,1007765C0,765,Other,C,Categorical,2022,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Pediatrics-Medical Genetics,1007765C0,765,Other,C,Categorical,2021,1,0,0.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Medical Genetics,1007766C0,766,Other,C,Categorical,2025,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Medical Genetics,1007766C0,766,Other,C,Categorical,2023,1,0,0.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Medical Genetics,1007766C0,766,Other,C,Categorical,2022,1,0,0.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Medical Genetics,1007766C0,766,Other,C,Categorical,2021,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Family Medicine,2947120C0,120,Family Medicine,C,Categorical,2025,12,12,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Family Medicine,2947120C0,120,Family Medicine,C,Categorical,2024,12,11,0.9166666666666666,ambiguous,,Fairhope
Thomas Hospital,AL,Family Medicine,2947120C0,120,Family Medicine,C,Categorical,2023,12,12,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Family Medicine,2947120C0,120,Family Medicine,C,Categorical,2022,12,12,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Family Medicine,2947120C0,120,Family Medicine,C,Categorical,2021,12,10,0.8333333333333334,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,2947140C0,140,Internal Medicine,C,Categorical,2025,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,2947140C0,140,Internal Medicine,C,Categorical,2024,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,2947140C0,140,Internal Medicine,C,Categorical,2023,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,2947140C0,140,Internal Medicine,C,Categorical,2022,9,9,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,2947140C0,140,Internal Medicine,C,Categorical,2021,8,8,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Preliminary,2947140P0,140,Internal Medicine,P,Preliminary,2025,1,1,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Psychiatry,2947400C0,400,Psychiatry,C,Categorical,2025,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1009140C0,140,Internal Medicine,C,Categorical,2025,7,7,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1009140C0,140,Internal Medicine,C,Categorical,2024,7,7,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1009140C0,140,Internal Medicine,C,Categorical,2023,7,7,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1009140C0,140,Internal Medicine,C,Categorical,2022,5,5,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Internal Medicine,1009140C0,140,Internal Medicine,C,Categorical,2021,6,6,1.0,ambiguous,,Fairhope
Thomas Hospital,AL,Medicine-Preliminary,1009140P0,140,Internal Medicine,P,Preliminary,2025,2,2,1.0,ambiguous,,Fairhope
