institution,state,fy,normalized_query,parent_query,matched_org_name,total_award_amount,n_projects,match_strategy
Halifax Med Ctr,FL,2023,HALIFAX MEDICAL CENTER,HALIFAX,,0.0,0,no_match
Hamilton Med Ctr,GA,2023,HAMILTON MEDICAL CENTER,HAMILTON,,0.0,0,no_match
Harbor-UCLA Med Ctr,CA,2023,HARBOR-UCLA MEDICAL CENTER,HARBOR-UCLA,LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,19858519.0,41,full_normalized_with_state
Harlem Hospital Ctr,NY,2023,HARLEM HOSPITAL CTR,HARLEM,,0.0,0,no_match
Harrison Med Ctr,WA,2023,HARRISON MEDICAL CENTER,HARRISON,,0.0,0,no_match
Hartford Hospital,CT,2023,HARTFORD HOSPITAL,HARTFORD,HARTFORD HOSPITAL,2103869.0,3,full_normalized_with_state
Harvard South Shore,MA,2023,HARVARD SOUTH SHORE,,,0.0,0,no_match
Harvard Spaulding Rehab Hosp,MA,2023,HARVARD SPAULDING REHAB HOSP,,,0.0,0,no_match
Health Education Services,TN,2023,HEALTH EDUCATION SERVICES,,,0.0,0,no_match
HealthONE,CO,2023,HEALTHONE,,,0.0,0,no_match
HealthPartners Institute,MN,2023,HEALTHPARTNERS INSTITUTE,,HEALTHPARTNERS INSTITUTE,8881886.0,12,full_normalized_with_state
HealthPoint,WA,2023,HEALTHPOINT,,,0.0,0,no_match
Hennepin Co Med Ctr,MN,2023,HENNEPIN CO MEDICAL CENTER,HENNEPIN CO,,0.0,0,no_match
Henry Ford Genesys Hospital,MI,2023,HENRY FORD GENESYS HOSPITAL,HENRY FORD GENESYS,,0.0,0,no_match
Henry Ford Hospital,MI,2023,HENRY FORD HOSPITAL,HENRY FORD,HENRY FORD HEALTH SYSTEM,41866530.0,46,parent_institution_with_state
Henry Ford Jackson Hospital,MI,2023,HENRY FORD JACKSON HOSPITAL,HENRY FORD JACKSON,,0.0,0,no_match
Henry Ford Macomb Hospital,MI,2023,HENRY FORD MACOMB HOSPITAL,HENRY FORD MACOMB,,0.0,0,no_match
Henry Ford Providence Hosp,MI,2023,HENRY FORD PROVIDENCE HOSP,,,0.0,0,no_match
Henry Ford St John Hosp,MI,2023,HENRY FORD SAINT JOHN HOSP,,,0.0,0,no_match
Henry Ford Warren Hosp,MI,2023,HENRY FORD WARREN HOSP,,,0.0,0,no_match
Henry Ford Wyandotte Hospital,MI,2023,HENRY FORD WYANDOTTE HOSPITAL,HENRY FORD WYANDOTTE,,0.0,0,no_match
Heritage Valley Beaver,PA,2023,HERITAGE VALLEY BEAVER,,,0.0,0,no_match
Hidalgo Medical Services,NM,2023,HIDALGO MEDICAL SERVICES,,,0.0,0,no_match
Hilo Medical Center,HI,2023,HILO MEDICAL CENTER,,,0.0,0,no_match
Hinsdale Hospital,IL,2023,HINSDALE HOSPITAL,HINSDALE,,0.0,0,no_match
HonorHealth,AZ,2023,HONORHEALTH,,,0.0,0,no_match
Hosp Episcopal San Lucas,PR,2023,HOSP EPISCOPAL SAN LUCAS,,,0.0,0,no_match
Hosp For Special Surgery,NY,2023,HOSP FOR SPECIAL SURGERY,,HOSPITAL FOR SPECIAL SURGERY,11820767.0,30,full_normalized_with_state
Hospital de la Concepcion,PR,2023,HOSPITAL DE LA CONCEPCION,,,0.0,0,no_match
Houston Healthcare,GA,2023,HOUSTON HEALTHCARE,,,0.0,0,no_match
Howard Univ Hosp,DC,2023,HOWARD UNIVERSITY HOSP,,,0.0,0,no_match
Hunterdon Med Ctr,NJ,2023,HUNTERDON MEDICAL CENTER,HUNTERDON,,0.0,0,no_match
Huntington Memorial Hosp,CA,2023,HUNTINGTON MEMORIAL HOSP,HUNTINGTON,HUNTINGTON MEDICAL RESEARCH INSTITUTES,2144923.0,4,parent_institution_with_state
Hurley Medical Ctr,MI,2023,HURLEY MEDICAL CTR,,,0.0,0,no_match
ISMMS Mount Sinai Beth Israel,NY,2023,ISMMS MOUNT SINAI BETH ISRAEL,,,0.0,0,no_match
ISMMS Mount Sinai Hospital,NY,2023,ISMMS MOUNT SINAI HOSPITAL,ISMMS MOUNT SINAI,,0.0,0,no_match
ISMMS Mount Sinai Morningside-West,NY,2023,ISMMS MOUNT SINAI MORNINGSIDE-WEST,,,0.0,0,no_match
ISMMS Mount Sinai South Nassau,NY,2023,ISMMS MOUNT SINAI SOUTH NASSAU,,,0.0,0,no_match
ISMMS NYC Health+Hospitals/Elmhurst,NY,2023,ISMMS NYC HEALTH+HOSPITALS,,,0.0,0,no_match
ISMMS NYC Health+Hospitals/Queens,NY,2023,ISMMS NYC HEALTH+HOSPITALS,,,0.0,0,no_match
ISMMS Valley Health System,NJ,2023,ISMMS VALLEY HEALTH SYSTEM,ISMMS VALLEY,,0.0,0,no_match
In His Image Family Med,OK,2023,IN HIS IMAGE FAMILY MED,,,0.0,0,no_match
Inova Fairfax Hospital,VA,2023,INOVA FAIRFAX HOSPITAL,INOVA FAIRFAX,,0.0,0,no_match
Inspira Health Network,NJ,2023,INSPIRA HEALTH NETWORK,INSPIRA,,0.0,0,no_match
Institute for Family Health,NY,2023,INSTITUTE FOR FAMILY HEALTH,,,0.0,0,no_match
Integris Health,OK,2023,INTEGRIS HEALTH,,,0.0,0,no_match
Intermountain Med Ctr,UT,2023,INTERMOUNTAIN MEDICAL CENTER,INTERMOUNTAIN,,0.0,0,no_match
Iredell Health System,NC,2023,IREDELL HEALTH SYSTEM,IREDELL,,0.0,0,no_match
JFK Med Ctr,NJ,2023,JFK MEDICAL CENTER,,,0.0,0,no_match
JHME-Jefferson Einstein Montgomery,PA,2023,JHME-JEFFERSON EINSTEIN MONTGOMERY,,,0.0,0,no_match
JHME-Jefferson Einstein Philadelphia,PA,2023,JHME-JEFFERSON EINSTEIN PHILADELPHIA,,,0.0,0,no_match
Jackson Park Hosp,IL,2023,JACKSON PARK HOSP,,,0.0,0,no_match
Jacobi Med Ctr/Einstein,NY,2023,JACOBI MEDICAL CENTER,JACOBI,,0.0,0,no_match
Jamaica Hosp Med Ctr,NY,2023,JAMAICA HOSP MEDICAL CENTER,JAMAICA HOSP,,0.0,0,no_match
Jefferson Health-Northeast,PA,2023,JEFFERSON HEALTH-NORTHEAST,,,0.0,0,no_match
Jersey Shore Univ Med Ctr,NJ,2023,JERSEY SHORE UNIVERSITY MEDICAL CENTER,JERSEY SHORE UNIVERSITY,,0.0,0,no_match
Jessie Trice Comm Hlth Sys,FL,2023,JESSIE TRICE COMM HLTH SYS,,,0.0,0,no_match
Jewish Hospital,OH,2023,JEWISH HOSPITAL,JEWISH,,0.0,0,no_match
John Muir Health,CA,2023,JOHN MUIR HEALTH,,,0.0,0,no_match
John Peter Smith Hosp,TX,2023,JOHN PETER SMITH HOSP,,,0.0,0,no_match
Johns Hopkins All Childrens Hosp,FL,2023,JOHNS HOPKINS ALL CHILDREN'S HOSP,,,0.0,0,no_match
Johns Hopkins Bloomberg SPH,MD,2023,JOHNS HOPKINS BLOOMBERG SPH,,,0.0,0,no_match
Johns Hopkins Hosp,MD,2023,JOHNS HOPKINS HOSP,,,0.0,0,no_match
Johns Hopkins/Bayview,MD,2023,JOHNS HOPKINS,,JOHNS HOPKINS UNIVERSITY,988080001.0,1782,full_normalized_with_state
Johnston Memorial Hosp,VA,2023,JOHNSTON MEMORIAL HOSP,JOHNSTON,,0.0,0,no_match
KCU-GME Consortium,MO,2023,KCU- CONSORTIUM,,,0.0,0,no_match
KPC Health Hemet Valley Med Ctr,CA,2023,KPC HEALTH HEMET VALLEY MEDICAL CENTER,KPC HEALTH HEMET VALLEY,,0.0,0,no_match
Kadlec Regional Med Ctr,WA,2023,KADLEC REGIONAL MEDICAL CENTER,KADLEC,,0.0,0,no_match
Kaiser Permanente Mid-Atlantic,MD,2023,KAISER PERMANENTE MID-ATLANTIC,,,0.0,0,no_match
Kaiser Permanente-Central Valley,CA,2023,KAISER PERMANENTE-CENTRAL VALLEY,,,0.0,0,no_match
Kaiser Permanente-Fontana,CA,2023,KAISER PERMANENTE-FONTANA,,,0.0,0,no_match
Kaiser Permanente-Los Angeles,CA,2023,KAISER PERMANENTE-LOS ANGELES,,,0.0,0,no_match
Kaiser Permanente-Napa/Solano,CA,2023,KAISER PERMANENTE-NAPA,,,0.0,0,no_match
Kaiser Permanente-Oakland,CA,2023,KAISER PERMANENTE-OAKLAND,,,0.0,0,no_match
Kaiser Permanente-Orange Co,CA,2023,KAISER PERMANENTE-ORANGE CO,,,0.0,0,no_match
Kaiser Permanente-Riverside,CA,2023,KAISER PERMANENTE-RIVERSIDE,,,0.0,0,no_match
Kaiser Permanente-SF,CA,2023,KAISER PERMANENTE-SF,,,0.0,0,no_match
Kaiser Permanente-Sacramento Valley,CA,2023,KAISER PERMANENTE-SACRAMENTO VALLEY,,,0.0,0,no_match
Kaiser Permanente-San Diego,CA,2023,KAISER PERMANENTE-SAN DIEGO,,,0.0,0,no_match
Kaiser Permanente-San Jose,CA,2023,KAISER PERMANENTE-SAN JOSE,,,0.0,0,no_match
Kaiser Permanente-Santa Clara,CA,2023,KAISER PERMANENTE-SANTA CLARA,,,0.0,0,no_match
Kaiser Permanente-Santa Rosa,CA,2023,KAISER PERMANENTE-SANTA ROSA,,,0.0,0,no_match
Kaiser Permanente-Woodland Hills,CA,2023,KAISER PERMANENTE-WOODLAND HILLS,,,0.0,0,no_match
Kaweah Delta Health Care District,CA,2023,KAWEAH DELTA HEALTH CARE DISTRICT,,,0.0,0,no_match
Keck School of Medicine of USC,CA,2023,KECK SCHOOL OF MEDICINE OF USC,,,0.0,0,no_match
Kendall Regional Med Ctr,FL,2023,KENDALL REGIONAL MEDICAL CENTER,KENDALL,,0.0,0,no_match
Kent Hospital,RI,2023,KENT HOSPITAL,,KENT COUNTY MEMORIAL HOSPITAL,679452.0,1,full_normalized_with_state
Keralty Hospital,FL,2023,KERALTY HOSPITAL,KERALTY,,0.0,0,no_match
Kern Med Ctr,CA,2023,KERN MEDICAL CENTER,,,0.0,0,no_match
Kettering Health Network,OH,2023,KETTERING HEALTH NETWORK,KETTERING,,0.0,0,no_match
Kirk Kerkorian SOM at UNLV,NV,2023,KIRK KERKORIAN SOM AT UNLV,,,0.0,0,no_match
Kootenai Health,ID,2023,KOOTENAI HEALTH,,,0.0,0,no_match
LECOM Health,PA,2023,LECOM HEALTH,,,0.0,0,no_match
LSU SOM-Baton Rouge,LA,2023,LSU SOM-BATON ROUGE,,,0.0,0,no_match
LSU SOM-New Orleans,LA,2023,LSU SOM-NEW ORLEANS,,,0.0,0,no_match
LSUHSC University Hosps & Clinics,LA,2023,LSUHSC UNIVERSITY HOSPS & CLINICS,,,0.0,0,no_match
LSUHSC-Lake Charles,LA,2023,LSUHSC-LAKE CHARLES,,,0.0,0,no_match
LSUHSC-Shreveport,LA,2023,LSUHSC-SHREVEPORT,,,0.0,0,no_match
La Grange Mem Hosp,IL,2023,LA GRANGE MEMORIAL HOSPITAL,LA GRANGE,,0.0,0,no_match
La Maestra Family Clinic Inc,CA,2023,LA MAESTRA FAMILY CLINIC INC,,,0.0,0,no_match
Lahey Clinic,MA,2023,LAHEY CLINIC,,,0.0,0,no_match
Lake Cumberland Regional Hosp,KY,2023,LAKE CUMBERLAND REGIONAL HOSP,LAKE CUMBERLAND,,0.0,0,no_match
Lake Granbury Med Ctr,TX,2023,LAKE GRANBURY MEDICAL CENTER,LAKE GRANBURY,,0.0,0,no_match
Lakeland Regional Health,FL,2023,LAKELAND REGIONAL HEALTH,LAKELAND,,0.0,0,no_match
Lakeside Med Ctr,FL,2023,LAKESIDE MEDICAL CENTER,LAKESIDE,,0.0,0,no_match
Lancaster Gen Hosp,PA,2023,LANCASTER GEN HOSP,,,0.0,0,no_match
Lankenau Med Ctr,PA,2023,LANKENAU MEDICAL CENTER,LANKENAU,LANKENAU INSTITUTE FOR MEDICAL RESEARCH,2308886.0,4,parent_institution_with_state
Larkin Comm Hosp Palm Springs Campus,FL,2023,LARKIN COMM HOSP PALM SPRINGS CAMPUS,,,0.0,0,no_match
Larkin Community Hospital,FL,2023,LARKIN COMMUNITY HOSPITAL,LARKIN COMMUNITY,,0.0,0,no_match
Lawndale Christian Health Ctr,IL,2023,LAWNDALE CHRISTIAN HEALTH CTR,,,0.0,0,no_match
Legacy Emanuel/Good Samaritan,OR,2023,LEGACY EMANUEL,,LEGACY EMANUEL HOSPITAL AND HEALTH CENTER,1892368.0,3,full_normalized_with_state
Legacy Salmon Creek Med Ctr,WA,2023,LEGACY SALMON CREEK MEDICAL CENTER,LEGACY SALMON CREEK,,0.0,0,no_match
Lehigh Valley Hosp,PA,2023,LEHIGH VALLEY HOSP,,,0.0,0,no_match
Lemuel Shattuck Hosp,MA,2023,LEMUEL SHATTUCK HOSP,,,0.0,0,no_match
Leonard J Chabert Med Ctr,LA,2023,LEONARD J CHABERT MEDICAL CENTER,LEONARD J CHABERT,,0.0,0,no_match
Lewis County Primary Care Ctr,KY,2023,LEWIS COUNTY PRIMARY CARE CTR,,,0.0,0,no_match
LewisGale Med Ctr,VA,2023,LEWISGALE MEDICAL CENTER,LEWISGALE,,0.0,0,no_match
Lexington Med Ctr,SC,2023,LEXINGTON MEDICAL CENTER,LEXINGTON,,0.0,0,no_match
Liberty Univ COM,VA,2023,LIBERTY UNIVERSITY COM,,,0.0,0,no_match
Lifelong Medical Care,CA,2023,LIFELONG MEDICAL CARE,,,0.0,0,no_match
Lincoln Med Ctr,NY,2023,LINCOLN MEDICAL CENTER,LINCOLN,,0.0,0,no_match
Lincoln Med Ed Partnership,NE,2023,LINCOLN MED ED PARTNERSHIP,,,0.0,0,no_match
Loma Linda Univ Med Ctr-Murrieta,CA,2023,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,LOMA LINDA UNIVERSITY,LOMA LINDA UNIVERSITY,9361951.0,20,parent_institution_with_state
Loma Linda University,CA,2023,LOMA LINDA UNIVERSITY,,LOMA LINDA UNIVERSITY,9361951.0,20,full_normalized_with_state
Long Beach Mem Med Ctr,CA,2023,LONG BEACH MEMORIAL MEDICAL CENTER,LONG BEACH,CALIFORNIA STATE UNIVERSITY LONG BEACH,5554196.0,17,parent_institution_with_state
Long Island Community Hosp,NY,2023,LONG ISLAND COMMUNITY HOSP,,,0.0,0,no_match
Los Robles Health System,CA,2023,LOS ROBLES HEALTH SYSTEM,LOS ROBLES,,0.0,0,no_match
Lower Bucks Hosp,PA,2023,LOWER BUCKS HOSP,,,0.0,0,no_match
Loyola Univ Med Ctr,IL,2023,LOYOLA UNIVERSITY MEDICAL CENTER,LOYOLA UNIVERSITY,LOYOLA UNIVERSITY CHICAGO,23445876.0,69,parent_institution_with_state
Lynchburg Fam Med Res,VA,2023,LYNCHBURG FAM MED RES,,,0.0,0,no_match
MGB-Brigham & Womens Hosp,MA,2023,MGB-BRIGHAM & WOMEN'S HOSP,,,0.0,0,no_match
MHC Healthcare,AZ,2023,MHC HEALTHCARE,,,0.0,0,no_match
MSUCOM Statewide Campus Sys,MI,2023,MSUCOM STATEWIDE CAMPUS SYS,,,0.0,0,no_match
MacNeal Hospital,IL,2023,MACNEAL HOSPITAL,MACNEAL,,0.0,0,no_match
Magnolia Regional Health Ctr,MS,2023,MAGNOLIA REGIONAL HEALTH CTR,MAGNOLIA,,0.0,0,no_match
Maimonides Med Ctr,NY,2023,MAIMONIDES MEDICAL CENTER,MAIMONIDES,,0.0,0,no_match
Manatee Memorial Hosp,FL,2023,MANATEE MEMORIAL HOSP,MANATEE,,0.0,0,no_match
Marian Regional Med Ctr,CA,2023,MARIAN REGIONAL MEDICAL CENTER,MARIAN,,0.0,0,no_match
Marianjoy Rehab Hosp,IL,2023,MARIANJOY REHAB HOSP,,,0.0,0,no_match
Marion Health,IN,2023,MARION HEALTH,,,0.0,0,no_match
Marshall Community Health,WV,2023,MARSHALL COMMUNITY HEALTH,,,0.0,0,no_match
Marshall University SOM,WV,2023,MARSHALL UNIVERSITY SOM,,,0.0,0,no_match
Marshfield Clinic,WI,2023,MARSHFIELD CLINIC,,"MARSHFIELD CLINIC, INC.",7170787.0,6,full_normalized_with_state
Mary Free Bed Hospital,MI,2023,MARY FREE BED HOSPITAL,MARY FREE BED,,0.0,0,no_match
Mary Washington Healthcare,VA,2023,MARY WASHINGTON HEALTHCARE,,,0.0,0,no_match
Mass General Brigham,MA,2023,MASS GENERAL BRIGHAM,,,0.0,0,no_match
Mayo Clinic School of Grad Med Educ,AZ,2023,MAYO CLINIC SCHOOL OF GRADUATE MEDICAL EDUCATION,MAYO CLINIC,MAYO CLINIC ARIZONA,25906679.0,54,parent_institution_with_state
McKay-Dee Hospital Ctr,UT,2023,MCKAY-DEE HOSPITAL CTR,MCKAY-DEE,,0.0,0,no_match
McLaren Health Care Corp,MI,2023,MCLAREN HEALTH CARE CORP,,,0.0,0,no_match
McLeod Reg Med Ctr,SC,2023,MCLEOD REG MEDICAL CENTER,MCLEOD REG,,0.0,0,no_match
Meadville Med Ctr,PA,2023,MEADVILLE MEDICAL CENTER,MEADVILLE,,0.0,0,no_match
MedStar Franklin Square Med Ctr,MD,2023,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,MEDSTAR FRANKLIN SQUARE,,0.0,0,no_match
MedStar Georgetown Univ Hosp,DC,2023,MEDSTAR GEORGETOWN UNIVERSITY HOSP,,,0.0,0,no_match
MedStar National Rehab Hosp,DC,2023,MEDSTAR NATIONAL REHAB HOSP,,,0.0,0,no_match
MedStar Union Memorial Hosp,MD,2023,MEDSTAR UNION MEMORIAL HOSP,MEDSTAR UNION,,0.0,0,no_match
MedStar Washington Hosp Ctr,DC,2023,MEDSTAR WASHINGTON HOSP CTR,,,0.0,0,no_match
Meharry Medical College,TN,2023,MEHARRY MEDICAL COLLEGE,MEHARRY,MEHARRY MEDICAL COLLEGE,22080566.0,51,full_normalized_with_state
Memorial Health System,OH,2023,MEMORIAL HEALTH SYSTEM,MEMORIAL,BATTELLE MEMORIAL INSTITU,20387659.0,9,parent_institution_with_state
Memorial Health Univ Med Ctr,GA,2023,MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,MEMORIAL HEALTH UNIVERSITY,,0.0,0,no_match
Memorial Healthcare System,FL,2023,MEMORIAL HEALTHCARE SYSTEM,MEMORIAL,,0.0,0,no_match
Memorial Hermann Hosp,TX,2023,MEMORIAL HERMANN HOSP,,,0.0,0,no_match
Memorial Hospital,IN,2023,MEMORIAL HOSPITAL,MEMORIAL,,0.0,0,no_match
Memorial Hospital at Gulfport,MS,2023,MEMORIAL HOSPITAL AT GULFPORT,MEMORIAL,,0.0,0,no_match
Memorial Med Ctr,NM,2023,MEMORIAL MEDICAL CENTER,MEMORIAL,,0.0,0,no_match
Memorial Sloan-Kettering,NY,2023,MEMORIAL SLOAN-KETTERING,,,0.0,0,no_match
Mercy Catholic Med Ctr,PA,2023,MERCY CATHOLIC MEDICAL CENTER,MERCY CATHOLIC,,0.0,0,no_match
Mercy Health System,WI,2023,MERCY HEALTH SYSTEM,MERCY,,0.0,0,no_match
Mercy Health-Anderson Hosp,OH,2023,MERCY HEALTH-ANDERSON HOSP,,,0.0,0,no_match
Mercy Health-St Ritas Med Ctr,OH,2023,MERCY HEALTH-SAINT RITAS MEDICAL CENTER,MERCY HEALTH-SAINT RITAS,,0.0,0,no_match
Mercy Hospital St Louis,MO,2023,MERCY HOSPITAL SAINT LOUIS,MERCY,"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",14859069.0,35,parent_institution_with_state
Mercy Med Ctr-Des Moines,IA,2023,MERCY MEDICAL CENTER-DES MOINES,MERCY,,0.0,0,no_match
Mercy Med Ctr-Merced,CA,2023,MERCY MEDICAL CENTER-MERCED,MERCY,,0.0,0,no_match
Mercy Med Ctr-Redding,CA,2023,MERCY MEDICAL CENTER-REDDING,MERCY,,0.0,0,no_match
Mercy St Vincent Med Ctr,OH,2023,MERCY SAINT VINCENT MEDICAL CENTER,MERCY SAINT VINCENT,,0.0,0,no_match
Mercyhealth GME Consortium,IL,2023,MERCYHEALTH CONSORTIUM,MERCYHEALTH,,0.0,0,no_match
Merit Health Wesley,MS,2023,MERIT HEALTH WESLEY,,,0.0,0,no_match
Meritus Medical Center,MD,2023,MERITUS MEDICAL CENTER,MERITUS,,0.0,0,no_match
Methodist Health System Dallas,TX,2023,METHODIST HEALTH SYSTEM DALLAS,METHODIST,METHODIST HOSPITAL RESEARCH INSTITUTE,45129580.0,95,parent_institution_with_state
Methodist Healthcare Memphis Hosps,TN,2023,METHODIST HEALTHCARE MEMPHIS HOSPS,,,0.0,0,no_match
Methodist Healthcare Sys-San Antonio,TX,2023,METHODIST HEALTHCARE SYS-SAN ANTONIO,,,0.0,0,no_match
Methodist Hospital-Houston,TX,2023,METHODIST HOSPITAL-HOUSTON,METHODIST,METHODIST HOSPITAL RESEARCH INSTITUTE,45129580.0,95,parent_institution_with_state
Methodist Med Ctr of Oak Ridge,TN,2023,METHODIST MEDICAL CENTER OF OAK RIDGE,METHODIST,,0.0,0,no_match
MetroWest Med Ctr-Framingham,MA,2023,METROWEST MEDICAL CENTER-FRAMINGHAM,METROWEST,,0.0,0,no_match
Middlesex Hospital,CT,2023,MIDDLESEX HOSPITAL,MIDDLESEX,,0.0,0,no_match
Midwestern University OPTI,AZ,2023,MIDWESTERN UNIVERSITY OPTI,,,0.0,0,no_match
Mission Community Hosp,CA,2023,MISSION COMMUNITY HOSP,,,0.0,0,no_match
Mobile Infirmary Med Ctr,AL,2023,MOBILE INFIRMARY MEDICAL CENTER,MOBILE INFIRMARY,,0.0,0,no_match
Mohawk Valley Health Sys,NY,2023,MOHAWK VALLEY HEALTH SYS,,,0.0,0,no_match
Montefiore Med Ctr/Einstein,NY,2023,MONTEFIORE MEDICAL CENTER,MONTEFIORE,"MONTEFIORE MEDICAL CENTER (BRONX, NY)",929392.0,1,full_normalized_with_state
Montefiore St Lukes Cornwall,NY,2023,MONTEFIORE SAINT LUKES CORNWALL,,,0.0,0,no_match
Montefiore-New Rochelle/Einstein,NY,2023,MONTEFIORE-NEW ROCHELLE,,,0.0,0,no_match
Morehouse Sch of Med,GA,2023,MOREHOUSE SCH OF MED,,MOREHOUSE SCHOOL OF MEDICINE,33255544.0,55,full_normalized_with_state
Mount Carmel Health System,OH,2023,MOUNT CARMEL HEALTH SYSTEM,MOUNT CARMEL,,0.0,0,no_match
Mountain AHEC,NC,2023,MOUNTAIN AHEC,,,0.0,0,no_match
Mountain State OPTI,WV,2023,MOUNTAIN STATE OPTI,,,0.0,0,no_match
Mountain States Institute,ID,2023,MOUNTAIN STATES INSTITUTE,,,0.0,0,no_match
MountainView Reg Med Ctr,NM,2023,MOUNTAINVIEW REG MEDICAL CENTER,MOUNTAINVIEW REG,,0.0,0,no_match
Mountainside Hosp,NJ,2023,MOUNTAINSIDE HOSP,,,0.0,0,no_match
Mt Auburn Hospital,MA,2023,MOUNT AUBURN HOSPITAL,MOUNT AUBURN,,0.0,0,no_match
Mt Sinai Hosp Med Ctr,IL,2023,MOUNT SINAI HOSP MEDICAL CENTER,MOUNT SINAI HOSP,,0.0,0,no_match
Mt Sinai Med Ctr-Miami,FL,2023,MOUNT SINAI MEDICAL CENTER-MIAMI,MOUNT SINAI,,0.0,0,no_match
MultiCare Health System,WA,2023,MULTICARE HEALTH SYSTEM,MULTICARE,,0.0,0,no_match
Munson Med Ctr,MI,2023,MUNSON MEDICAL CENTER,MUNSON,,0.0,0,no_match
MyMichigan Med Ctr Midland,MI,2023,MYMICHIGAN MEDICAL CENTER MIDLAND,MYMICHIGAN,,0.0,0,no_match
NCH Healthcare Sys,FL,2023,NCH HEALTHCARE SYS,,,0.0,0,no_match
NYCOMEC,NY,2023,NYCOMEC,,,0.0,0,no_match
NYMC-Landmark Med Ctr,RI,2023,NYMC-LANDMARK MEDICAL CENTER,NYMC-LANDMARK,,0.0,0,no_match
NYMC-Metropolitan Hosp Ctr,NY,2023,NYMC-METROPOLITAN HOSP CTR,,,0.0,0,no_match
NYMC-St Josephs Med Ctr,NY,2023,NYMC-SAINT JOSEPHS MEDICAL CENTER,NYMC-SAINT JOSEPHS,,0.0,0,no_match
NYMC-St Marys and St Clares,NY,2023,NYMC-SAINT MARYS AND SAINT CLARES,,,0.0,0,no_match
NYMC-St Michaels Med Ctr,NJ,2023,NYMC-SAINT MICHAELS MEDICAL CENTER,NYMC-SAINT MICHAELS,,0.0,0,no_match
NYMC-Westchester/Metropolitan,NY,2023,NYMC-WESTCHESTER,,,0.0,0,no_match
NYP Brooklyn Methodist Hosp,NY,2023,NYP BROOKLYN METHODIST HOSP,,,0.0,0,no_match
NYP Hosp-Columbia & Cornell,NY,2023,NYP HOSP-COLUMBIA & CORNELL,,,0.0,0,no_match
NYP Hosp-Columbia Univ Med Ctr,NY,2023,NYP HOSP-COLUMBIA UNIVERSITY MEDICAL CENTER,NYP HOSP-COLUMBIA UNIVERSITY,,0.0,0,no_match
NYP Hosp-Weill Cornell Med Ctr,NY,2023,NYP HOSP-WEILL CORNELL MEDICAL CENTER,NYP HOSP-WEILL CORNELL,,0.0,0,no_match
NYU Grossman Long Island SOM,NY,2023,NEW YORK UNIVERSITY GROSSMAN LONG ISLAND SOM,,,0.0,0,no_match
NYU Grossman School Of Medicine,NY,2023,NEW YORK UNIVERSITY GROSSMAN SCHOOL OF MEDICINE,NEW YORK UNIVERSITY GROSSMAN,,0.0,0,no_match
Nassau Univ Med Ctr,NY,2023,NASSAU UNIVERSITY MEDICAL CENTER,NASSAU UNIVERSITY,,0.0,0,no_match
Nationwide Childrens Hosp,OH,2023,NATIONWIDE CHILDREN'S HOSP,,RESEARCH INST NATIONWIDE CHILDREN'S HOSP,74036326.0,144,full_normalized_with_state
Natividad Med Ctr,CA,2023,NATIVIDAD MEDICAL CENTER,NATIVIDAD,,0.0,0,no_match
Natl Insts of Health,MD,2023,NATL INSTS OF HEALTH,,,0.0,0,no_match
Nazareth Hospital,PA,2023,NAZARETH HOSPITAL,NAZARETH,,0.0,0,no_match
Nemours Childrens Hosp,FL,2023,NEMOURS CHILDREN'S HOSP,,"NEMOURS CHILDREN'S HOSPITAL, ORLANDO",591883.0,2,full_normalized_with_state
New Bridge Med Ctr,NJ,2023,NEW BRIDGE MEDICAL CENTER,NEW BRIDGE,,0.0,0,no_match
New Hanover Reg Med Ctr,NC,2023,NEW HANOVER REG MEDICAL CENTER,NEW HANOVER REG,,0.0,0,no_match
Newton-Wellesley Hosp,MA,2023,NEWTON-WELLESLEY HOSP,,,0.0,0,no_match
Niagara Falls Mem Med Ctr,NY,2023,NIAGARA FALLS MEMORIAL MEDICAL CENTER,NIAGARA FALLS,,0.0,0,no_match
Nicklaus Childrens Hospital-Miami,FL,2023,NICKLAUS CHILDREN'S HOSPITAL-MIAMI,NICKLAUS CHILDREN'S,,0.0,0,no_match
North Country HealthCare,AZ,2023,NORTH COUNTRY HEALTHCARE,,,0.0,0,no_match
North East Medical Services,CA,2023,NORTH EAST MEDICAL SERVICES,,,0.0,0,no_match
North Oaks Med Ctr LLC,LA,2023,NORTH OAKS MEDICAL CENTER LLC,NORTH OAKS,,0.0,0,no_match
North Shore Med Ctr/Salem Hosp,MA,2023,NORTH SHORE MEDICAL CENTER,NORTH SHORE,,0.0,0,no_match
Northside Hospital Gwinnett,GA,2023,NORTHSIDE HOSPITAL GWINNETT,NORTHSIDE,NORTHSIDE HOSPITAL ATLANTA,1976366.0,2,parent_institution_with_state
Northwestern McGaw/Lurie Childrens,IL,2023,NORTHWESTERN MCGAW,,,0.0,0,no_match
Northwestern McGaw/NMH/VA,IL,2023,NORTHWESTERN MCGAW,,,0.0,0,no_match
